IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls
235138081,01 Jan 2009,2009,00:00:37,0,Special Service,Special Service,RTC,Road Vehicle,"Car ",In street close to gazetteer location,SW11 4LB,SW11,NULL,NULL,E09000032,WANDSWORTH,Wandsworth,E05000620,Queenstown,Queenstown,528652,176830,528650,176850,51.4758117319,-0.1488944358,London,Battersea,319,Battersea,342,Clapham,2,2,2,1,255,1
1091,01 Jan 2009,2009,00:00:46,0,Special Service,Special Service,Assist other agencies,Outdoor,"Lake/pond/reservoir ",Open land/water - nearest gazetteer location,SE1 7SG,SE1,NULL,NULL,E09000022,LAMBETH,Lambeth,E05000416,Bishop's,Bishop's,530485,179007,530450,179050,51.4949565934,-0.1217120304,London,Lambeth,NULL,,NULL,,NULL,NULL,NULL,NULL,NULL,1
2091,01 Jan 2009,2009,00:03:00,0,Fire,Secondary Fire,,Outdoor,"Road surface/pavement ",In street outside gazetteer location,N9 9EL,N9,NULL,NULL,E09000010,ENFIELD,Enfield,E05000201,Haselbury,Haselbury,533773,194492,533750,194450,51.6333422942,-0.0684879648,London,Edmonton,308,Edmonton,NULL,,1,1,1,1,255,2
3091,01 Jan 2009,2009,00:04:27,0,Fire,Secondary Fire,,Outdoor,"Domestic garden (vegetation not equipment) ",On land associated with building,UB10 0DG,UB10,100021491527,21401491,E09000017,HILLINGDON,Hillingdon,E05000332,Hillingdon East,Hillingdon East,507738,182805,507750,182850,51.5338817060,-0.4480886091,London,Hillingdon,210,Hillingdon,NULL,,1,1,1,1,255,2
5091,01 Jan 2009,2009,00:05:39,0,Fire,Secondary Fire,,Outdoor,"Cycle path/public footpath/bridleway ",In street outside gazetteer location,N7 8HG,N7,NULL,NULL,E09000019,ISLINGTON,Islington,E05000375,Holloway,Holloway,531058,185307,531050,185350,51.5514406310,-0.1111202280,London,Holloway,233,Holloway,250,Holloway,1,2,2,1,255,1
6091,01 Jan 2009,2009,00:06:03,0,False Alarm,AFA,,Dwelling,"Purpose Built Flats/Maisonettes - Up to 3 storeys ",Correct incident location,,NW5,0,20499122,E09000007,CAMDEN,Camden,E05000139,Kentish Town,Kentish Town,NULL,NULL,529450,185250,NULL,NULL,London,Kentish Town,172,Kentish Town,222,Kentish Town,1,2,2,1,255,1
8091,01 Jan 2009,2009,00:12:31,0,Special Service,Special Service,RTC,Road Vehicle,"Car ",On motorway / elevated road,SE3 9PP,SE3,NULL,NULL,E09000011,GREENWICH,Greenwich,E05000220,Eltham West,Eltham West,541086,175646,541050,175650,51.4622106766,0.0295572390,London,Lee Green,522,East Greenwich,NULL,,1,1,1,1,255,1
9091,01 Jan 2009,2009,00:13:42,0,Fire,Secondary Fire,,Outdoor Structure,"Refuse/rubbish tip ",On land associated with building,TW3 2RE,TW3,100021558493,21500957,E09000018,HOUNSLOW,Hounslow,E05000360,Hounslow South,Hounslow South,514529,174907,514550,174950,51.4615596328,-0.3527827800,London,Heston,342,Heston,349,Heston,1,2,2,2,510,1
10091,01 Jan 2009,2009,00:14:51,0,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,On land associated with building,EC1V 7PB,EC1V,5300036673,21604971,E09000019,ISLINGTON,Islington,E05000367,Bunhill,Bunhill,531902,182654,531950,182650,51.5274026165,-0.0999478642,London,Shoreditch,255,Clerkenwell,NULL,,1,1,1,1,255,2
11091,01 Jan 2009,2009,00:14:57,0,False Alarm,AFA,,Other Residential,"Student Hall of Residence ",Correct incident location,WC1B 3RA,WC1B,5048015,20401090,E09000007,CAMDEN,Camden,E05000129,Bloomsbury,Bloomsbury,529914,181705,529950,181750,51.5193345021,-0.1289392801,London,Soho,297,Euston,NULL,,1,1,1,1,255,1
12091,01 Jan 2009,2009,00:16:02,0,Fire,Primary Fire,,Dwelling,"House - single occupancy ",Correct incident location,,N21,0,20703023,E09000010,ENFIELD,Enfield,E05000200,Grange,Grange,NULL,NULL,531350,195850,NULL,NULL,London,Southgate,NULL,,NULL,,2,2,2,2,510,1
14091,01 Jan 2009,2009,00:17:58,0,Special Service,Special Service,Flooding,Dwelling,"Converted Flat/Maisonette - Up to 2 storeys ",Correct incident location,,SE5,0,22500901,E09000028,SOUTHWARK,Southwark,E05011115,St. Giles,St. Giles,NULL,NULL,532850,177050,NULL,NULL,London,Peckham,256,Peckham,NULL,,1,1,1,1,255,1
15091,01 Jan 2009,2009,00:19:00,0,Fire,Secondary Fire,,Outdoor,"Loose refuse ",On land associated with building,TW3 4DU,TW3,100021546216,21500344,E09000018,HOUNSLOW,Hounslow,E05000358,Hounslow Central,Hounslow Central,513945,176409,513950,176450,51.4751773166,-0.3607018750,London,Heston,595,Feltham,NULL,,1,1,1,1,255,1
21091,01 Jan 2009,2009,00:20:43,0,Special Service,Special Service,Medical Incident,Outdoor,"Road surface/pavement ",In street outside gazetteer location,E8 1HE,E8,NULL,NULL,E09000012,HACKNEY,Hackney,E05009376,Homerton,Homerton,534967,184753,534950,184750,51.5455404202,-0.0549868974,London,Homerton,56,Homerton,NULL,,1,1,1,1,255,1
20091,01 Jan 2009,2009,00:23:28,0,False Alarm,AFA,,Non Residential,"Department Store ",Correct incident location,EN2 6LJ,EN2,207037833,20703007,E09000010,ENFIELD,Enfield,E05000200,Grange,Grange,532748,196549,532750,196550,51.6520699369,-0.0825084459,London,Enfield,239,Enfield,NULL,,1,1,1,2,510,1
17091,01 Jan 2009,2009,00:23:38,0,Special Service,Special Service,Lift Release,Dwelling,"Purpose Built Flats/Maisonettes - 4 to 9 storeys ",Correct incident location,,EC1A,0,21690439,E09000001,CITY OF LONDON,City Of london,E05009304,Farringdon Within,Farringdon Within,NULL,NULL,532150,181550,NULL,NULL,London,Dowgate,696,Dowgate,NULL,,1,1,1,1,255,1
18091,01 Jan 2009,2009,00:24:11,0,False Alarm,False alarm - Good intent,,Outdoor,"Park ",In street remote from gazetteer location,SE26 5PE,SE26,NULL,NULL,E09000006,BROMLEY,Bromley,E05000123,Penge and Cator,Penge and Cator,535420,170720,535450,170750,51.4193255082,-0.0538352990,London,Beckenham,669,Beckenham,NULL,,1,1,1,1,255,2
22091,01 Jan 2009,2009,00:25:18,0,Special Service,Special Service,Flooding,Dwelling,"Purpose Built Flats/Maisonettes - 4 to 9 storeys ",Correct incident location,,CR4,0,22105073,E09000024,MERTON,Merton,E05000458,Cricket Green,Cricket Green,NULL,NULL,526550,168950,NULL,NULL,London,Mitcham,313,Mitcham,NULL,,1,1,1,1,255,1
23091,01 Jan 2009,2009,00:26:20,0,Fire,Primary Fire,,Non Residential,"Laundrette ",Correct incident location,W10 5NE,W10,217048290,21700912,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009396,Golborne,Golborne,524281,181426,524250,181450,51.5180932647,-0.2101827643,London,North Kensington,131,North Kensington,397,Paddington,3,5,6,11,2805,7
32091,01 Jan 2009,2009,00:30:50,0,Special Service,Special Service,No action (not false alarm),Dwelling,"Purpose Built Flats/Maisonettes - Up to 3 storeys ",Within same building,,N11,0,20701932,E09000010,ENFIELD,Enfield,E05000209,Southgate Green,Southgate Green,NULL,NULL,528650,192350,NULL,NULL,London,Southgate,NULL,,NULL,,1,1,1,1,255,1
34091,01 Jan 2009,2009,00:31:18,0,Special Service,Special Service,Flooding,Dwelling,"Purpose Built Flats/Maisonettes - 10 or more storeys ",Correct incident location,,NW5,0,20499074,E09000007,CAMDEN,Camden,E05000139,Kentish Town,Kentish Town,NULL,NULL,528850,185850,NULL,NULL,London,Kentish Town,220,Kentish Town,NULL,,1,1,1,1,255,1
36091,01 Jan 2009,2009,00:32:42,0,Fire,Secondary Fire,,Outdoor,"Domestic garden (vegetation not equipment) ",On land associated with building,CR0 4UD,CR0,5870100299,22600461,E09000029,SUTTON,Sutton,E05000555,Beddington North,Beddington North,530087,165485,530050,165450,51.3735273248,-0.1324043534,London,Wallington,NULL,,NULL,,1,1,1,1,255,3
39091,01 Jan 2009,2009,00:33:13,0,False Alarm,False alarm - Good intent,,Other Residential,"Hotel/motel ",Within same building,WC2R 0EU,WC2R,100023432935,8400865,E09000007,CAMDEN,Camden,E05000138,Holborn and Covent Garden,Holborn and Covent Garden,530282,181379,530250,181350,51.5163201257,-0.1237587894,London,Soho,349,Soho,NULL,,1,1,1,1,255,1
38091,01 Jan 2009,2009,00:33:33,0,Fire,Primary Fire,,Dwelling,"Purpose Built Flats/Maisonettes - Up to 3 storeys ",Correct incident location,,SE18,0,20800937,E09000011,GREENWICH,Greenwich,E05000229,Woolwich Common,Woolwich Common,NULL,NULL,543750,177750,NULL,NULL,London,Plumstead,369,Plumstead,402,Plumstead,2,3,3,2,510,1
33091,01 Jan 2009,2009,00:35:07,0,False Alarm,AFA,,Other Residential,"Hotel/motel ",Within same building,N1 9AA,N1,10010441505,21606389,E09000019,ISLINGTON,Islington,E05000368,Caledonian,Caledonian,530340,183120,530350,183150,51.5319528302,-0.1222795793,London,Euston,285,Euston,NULL,,1,1,1,1,255,1
41091,01 Jan 2009,2009,00:35:45,0,False Alarm,False alarm - Good intent,,Dwelling,"House - single occupancy ",Correct incident location,,E6,0,22200519,E09000025,NEWHAM,Newham,E05000476,Boleyn,Boleyn,NULL,NULL,541650,183250,NULL,NULL,London,East Ham,190,Plaistow,251,East Ham,2,2,2,1,255,1
43091,01 Jan 2009,2009,00:38:55,0,False Alarm,False alarm - Good intent,,Dwelling,"Purpose Built Flats/Maisonettes - 4 to 9 storeys ",Correct incident location,,SE17,0,22501415,E09000028,SOUTHWARK,Southwark,E05011102,Faraday,Faraday,NULL,NULL,533350,178250,NULL,NULL,London,Old Kent Road,652,Old Kent Road,NULL,,1,1,1,1,255,1
46091,01 Jan 2009,2009,00:39:53,0,False Alarm,AFA,,Non Residential,Restaurant/cafe,Within same building,EC4A 1DE,EC4A,95505360,8100422,E09000001,CITY OF LONDON,City Of london,E05009297,Castle Baynard,Castle Baynard,531312,181449,531350,181450,51.5167109854,-0.1088969415,London,Dowgate,388,Clerkenwell,NULL,,1,1,1,1,255,1
48091,01 Jan 2009,2009,00:40:31,0,Special Service,Special Service,Lift Release,Dwelling,"Purpose Built Flats/Maisonettes - 4 to 9 storeys ",Correct incident location,,SE1,0,22501118,E09000028,SOUTHWARK,Southwark,E05011098,Chaucer,Chaucer,NULL,NULL,532850,179150,NULL,NULL,London,Old Kent Road,276,Southwark,NULL,,1,1,1,1,255,2
44091,01 Jan 2009,2009,00:40:39,0,False Alarm,False alarm - Good intent,,Dwelling,"Purpose Built Flats/Maisonettes - 10 or more storeys ",Correct incident location,,SW8,0,21900650,E09000022,LAMBETH,Lambeth,E05000429,Stockwell,Stockwell,NULL,NULL,530350,176950,NULL,NULL,London,Brixton,331,Clapham,370,Brixton,2,3,3,1,255,1
49091,01 Jan 2009,2009,00:43:26,0,Special Service,Special Service,Effecting entry/exit,Dwelling,"Purpose Built Flats/Maisonettes - Up to 3 storeys ",Correct incident location,,SW16,0,21900461,E09000022,LAMBETH,Lambeth,E05000428,St. Leonard's,St. Leonard's,NULL,NULL,529850,172650,NULL,NULL,London,Tooting,657,Tooting,NULL,,1,1,1,1,255,1
53091,01 Jan 2009,2009,00:45:25,0,Fire,Secondary Fire,,Outdoor,"Other outdoor location ",In street close to gazetteer location,IG6 2JN,IG6,NULL,NULL,E09000026,REDBRIDGE,Redbridge,E05000504,Fullwell,Fullwell,544137,190509,544150,190550,51.5949953134,0.0795233068,London,Hainault,336,Hainault,NULL,,1,1,1,1,255,2
54091,01 Jan 2009,2009,00:46:48,0,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),In street close to gazetteer location,E3 3PN,E3,NULL,NULL,E09000030,TOWER HAMLETS,Tower Hamlets,E05009322,Bromley South,Bromley South,537750,182250,537750,182250,51.5223768969,-0.0158562281,London,Poplar,281,Poplar,NULL,,1,1,1,1,255,1
55091,01 Jan 2009,2009,00:48:32,0,False Alarm,False alarm - Good intent,,Dwelling,"House - single occupancy ",Correct incident location,,SW2,0,21902084,E09000022,LAMBETH,Lambeth,E05000435,Tulse Hill,Tulse Hill,NULL,NULL,531350,173950,NULL,NULL,London,West Norwood,381,West Norwood,385,West Norwood,1,2,2,1,255,1
58091,01 Jan 2009,2009,00:52:12,0,Fire,Primary Fire,,Dwelling,"Purpose Built Flats/Maisonettes - Up to 3 storeys ",Correct incident location,,E17,0,22845050,E09000031,WALTHAM FOREST,Waltham Forest,E05000599,High Street,High Street,NULL,NULL,537050,189150,NULL,NULL,London,Walthamstow,116,Leyton,123,Leyton,2,3,3,2,510,1
60091,01 Jan 2009,2009,00:52:38,0,Fire,Primary Fire,,Dwelling,"Converted Flat/Maisonette - Up to 2 storeys ",Correct incident location,,SE8,0,22000019,E09000023,LEWISHAM,Lewisham,E05000439,Brockley,Brockley,NULL,NULL,537350,176450,NULL,NULL,London,Greenwich,203,Greenwich,NULL,,2,3,3,3,765,1
61091,01 Jan 2009,2009,00:54:32,0,False Alarm,AFA,,Non Residential,"Museum ",Correct incident location,WC2N 5NF,WC2N,100023432708,8400805,E09000033,WESTMINSTER,Westminster,E05000644,St. James's,St. James's,530227,180412,530250,180450,51.5076425267,-0.1249080322,London,Soho,283,Islington,NULL,,1,1,1,1,255,1
62091,01 Jan 2009,2009,00:55:09,0,Fire,Secondary Fire,,Outdoor,"Loose refuse ",In street close to gazetteer location,SE18 6UD,SE18,NULL,NULL,E09000011,GREENWICH,Greenwich,E05000229,Woolwich Common,Woolwich Common,543579,178081,543550,178050,51.4834643648,0.0664083728,London,Plumstead,457,East Greenwich,NULL,,1,1,1,1,255,1
63091,01 Jan 2009,2009,01:01:01,1,False Alarm,AFA,,Non Residential,"Department Store ",Correct incident location,CR9 1SB,CR9,100022917703,20501238,E09000008,CROYDON,Croydon,E05011468,Fairfield,Fairfield,532375,165627,532350,165650,51.3742754462,-0.0994989677,London,Croydon,266,Croydon,NULL,,1,1,1,1,255,2
