DateOfCall,CalYear,HourOfCall,IncidentGroup,PropertyCategory,PropertyType,NumPumpsAttending,PumpHoursRoundUp,Notional Cost (£),Date,CostCat
1,2009,0,0,0,0,2,1,255,01/01/2009,3
1,2009,0,1,1,1,1,1,255,01/01/2009,3
1,2009,0,1,1,2,1,1,255,01/01/2009,3
1,2009,0,1,1,3,2,1,255,01/01/2009,3
1,2009,0,2,2,4,2,1,255,01/01/2009,3
1,2009,0,0,0,0,1,1,255,01/01/2009,3
1,2009,0,1,3,5,2,2,510,01/01/2009,6
1,2009,0,1,3,6,1,1,255,01/01/2009,3
1,2009,0,2,4,7,1,1,255,01/01/2009,3
1,2009,0,1,2,8,2,2,510,01/01/2009,6
1,2009,0,0,2,9,1,1,255,01/01/2009,3
1,2009,0,1,1,10,1,1,255,01/01/2009,3
1,2009,0,0,1,1,1,1,255,01/01/2009,3
1,2009,0,2,5,11,1,2,510,01/01/2009,6
1,2009,0,0,2,12,1,1,255,01/01/2009,3
1,2009,0,2,1,13,1,1,255,01/01/2009,3
1,2009,0,0,2,12,1,1,255,01/01/2009,3
1,2009,0,1,5,14,5,11,2805,01/01/2009,11
1,2009,0,0,2,4,1,1,255,01/01/2009,3
1,2009,0,0,2,15,1,1,255,01/01/2009,3
1,2009,0,1,1,2,1,1,255,01/01/2009,3
1,2009,0,2,4,16,1,1,255,01/01/2009,3
1,2009,0,1,2,4,3,2,510,01/01/2009,6
1,2009,0,2,4,16,1,1,255,01/01/2009,3
1,2009,0,2,2,8,2,1,255,01/01/2009,3
1,2009,0,2,2,12,1,1,255,01/01/2009,3
1,2009,0,2,5,17,1,1,255,01/01/2009,3
1,2009,0,0,2,12,1,1,255,01/01/2009,3
1,2009,0,2,2,15,3,1,255,01/01/2009,3
1,2009,0,0,2,4,1,1,255,01/01/2009,3
1,2009,0,1,1,18,1,1,255,01/01/2009,3
1,2009,0,1,3,19,1,1,255,01/01/2009,3
1,2009,0,2,2,8,2,1,255,01/01/2009,3
1,2009,0,1,2,4,3,2,510,01/01/2009,6
1,2009,0,1,2,9,3,3,765,01/01/2009,8
1,2009,0,2,5,20,1,1,255,01/01/2009,3
1,2009,0,1,1,10,1,1,255,01/01/2009,3
1,2009,1,2,5,11,1,1,255,01/01/2009,3
1,2009,1,2,3,21,1,1,255,01/01/2009,3
1,2009,1,0,2,4,2,2,510,01/01/2009,6
1,2009,1,0,2,22,1,1,255,01/01/2009,3
1,2009,1,0,2,8,3,2,510,01/01/2009,6
1,2009,1,1,2,4,2,25,6375,01/01/2009,11
1,2009,1,2,5,23,2,1,255,01/01/2009,3
1,2009,1,0,2,15,1,1,255,01/01/2009,3
1,2009,1,0,3,24,1,1,255,01/01/2009,3
1,2009,1,0,2,9,1,1,255,01/01/2009,3
1,2009,1,2,3,6,1,1,255,01/01/2009,3
1,2009,1,2,5,25,1,1,255,01/01/2009,3
1,2009,1,0,2,12,1,1,255,01/01/2009,3
1,2009,1,0,1,1,2,3,765,01/01/2009,8
1,2009,1,0,2,15,1,1,255,01/01/2009,3
1,2009,1,0,2,26,1,1,255,01/01/2009,3
1,2009,1,0,2,9,1,1,255,01/01/2009,3
1,2009,1,0,0,0,1,1,255,01/01/2009,3
1,2009,1,0,0,0,2,3,765,01/01/2009,8
1,2009,1,0,0,0,1,1,255,01/01/2009,3
1,2009,1,2,4,7,3,1,255,01/01/2009,3
1,2009,1,1,2,9,2,3,765,01/01/2009,8
1,2009,2,1,1,10,1,1,255,01/01/2009,3
1,2009,2,0,1,1,2,1,255,01/01/2009,3
1,2009,2,0,2,12,1,2,510,01/01/2009,6
1,2009,2,1,1,10,1,1,255,01/01/2009,3
1,2009,2,2,2,12,2,1,255,01/01/2009,3
1,2009,2,0,2,4,1,1,255,01/01/2009,3
1,2009,3,1,4,27,2,1,255,01/01/2009,3
1,2009,3,0,2,8,1,2,510,01/01/2009,6
1,2009,3,2,2,8,2,1,255,01/01/2009,3
1,2009,3,2,4,28,4,1,255,01/01/2009,3
1,2009,3,2,2,9,2,1,255,01/01/2009,3
1,2009,3,0,4,7,1,1,255,01/01/2009,3
1,2009,3,2,4,29,2,1,255,01/01/2009,3
1,2009,3,2,2,8,2,1,255,01/01/2009,3
1,2009,3,2,4,16,1,1,255,01/01/2009,3
1,2009,3,1,2,4,3,6,1530,01/01/2009,11
1,2009,3,2,2,22,4,1,255,01/01/2009,3
1,2009,3,2,2,12,2,1,255,01/01/2009,3
1,2009,3,2,2,26,2,1,255,01/01/2009,3
1,2009,3,0,3,30,2,1,255,01/01/2009,3
1,2009,3,0,2,15,2,1,255,01/01/2009,3
1,2009,3,0,1,1,2,2,510,01/01/2009,6
1,2009,3,2,4,7,3,1,255,01/01/2009,3
1,2009,3,0,2,12,1,1,255,01/01/2009,3
1,2009,3,2,2,26,2,1,255,01/01/2009,3
1,2009,4,0,1,1,1,1,255,01/01/2009,3
1,2009,4,0,2,8,1,1,255,01/01/2009,3
1,2009,4,2,2,4,2,1,255,01/01/2009,3
1,2009,4,2,2,22,2,1,255,01/01/2009,3
1,2009,4,0,2,22,1,1,255,01/01/2009,3
1,2009,4,1,3,5,3,6,1530,01/01/2009,11
