IncidentDate,Zipcode,SuppressionPersonnel,EstimatedPropertyLoss,EstimatedContentsLoss,CivilianFatalities,CivilianInjuries,PropertyUse,AreaofFireOrigin,IgnitionCause,StructureStatus,DetectorsPresent
2,94109,22,3000,1000,0,0,1,1,1,0,0
10,94117,31,5000,0,0,0,2,2,1,0,1
3,94102,42,50,10,0,0,2,3,1,0,2
6,94110,32,0,0,0,0,2,4,1,0,2
3,94131,30,0,0,0,0,3,5,1,0,2
1,94105,32,20000,25000,0,0,4,6,1,1,2
2,94115,32,10000,5000,0,0,2,7,2,0,0
9,94122,4,2000,2000,0,0,5,6,1,0,2
4,94109,31,100,100,0,0,6,8,1,0,0
7,94102,31,0,0,0,0,1,4,1,0,0
5,94134,24,70000,30000,0,0,3,3,1,0,0
7,94112,35,5000,500,0,0,3,4,1,2,0
12,94122,30,2000,500,0,0,4,10,3,0,2
3,94115,10,100000,50000,0,0,2,4,3,0,0
2,94114,32,100000,30000,0,0,2,4,1,0,2
12,94110,32,1000,300,0,0,8,11,4,3,0
3,94134,25,0,0,0,0,3,5,1,0,0
12,94133,31,0,0,0,0,2,1,1,0,0
6,94110,37,1000,3000,0,0,2,8,1,0,2
3,94107,9,0,0,0,0,2,3,1,0,0
5,94102,12,50,23,0,0,2,3,1,0,0
2,94102,31,1000,1000,0,0,7,4,1,0,0
8,94114,33,500,300,0,0,11,13,1,0,2
5,94118,20,0,0,0,0,12,12,1,0,0
12,94109,33,20000,5000,0,0,13,14,4,3,0
8,94103,10,50,0,0,0,1,3,2,0,0
2,94110,37,200,100,0,0,2,4,3,0,0
9,94117,11,5,5,0,0,2,15,1,0,0
3,94112,33,2500,10,0,0,3,16,1,0,2
12,94117,4,0,0,0,0,2,3,1,0,0
7,94112,31,10000,1500,0,0,15,17,1,0,2
8,94121,30,150000,100000,0,0,11,13,5,0,2
3,94131,37,75000,35000,0,0,2,3,1,0,2
4,94115,5,100,25,0,0,2,3,1,0,0
6,94114,30,5000,1,0,0,2,18,1,0,2
1,94118,31,25000,5000,0,0,16,9,1,0,2
1,94114,31,10000,100,0,0,3,16,5,0,2
11,94110,31,500,500,0,0,2,19,1,0,1
2,94110,22,0,0,0,0,2,4,3,0,0
8,94107,30,100,100,0,0,2,3,3,0,0
10,94104,45,1000,1000,0,0,17,20,6,3,0
7,94103,27,200,100,0,0,6,4,1,0,2
8,94114,33,500,5000,0,0,2,1,1,0,0
2,94134,31,1000,0,0,0,18,21,2,0,2
10,94103,34,100,100,0,0,7,22,5,0,0
2,94115,42,20000,250,0,0,21,16,1,0,0
3,94108,55,20000,20000,0,0,1,4,1,0,0
2,94121,30,1000,100,0,0,2,3,1,0,0
12,94131,33,500,1,0,0,3,3,1,0,2
3,94102,32,500,4000,0,0,22,14,4,3,0
8,94115,32,500,1500,0,0,3,1,1,0,0
11,94131,30,100000,20000,0,0,3,25,5,0,2
6,94131,30,0,10,0,0,3,21,5,0,0
5,94108,32,5000,100,0,0,16,9,1,0,0
10,94103,24,5000,250,0,0,7,22,5,0,0
10,94116,32,100000,10000,0,0,8,26,6,3,0
1,94102,32,0,100,0,0,2,4,1,0,0
1,94110,35,7000,1000,0,0,2,3,1,0,0
2,94118,27,80000,80000,0,0,6,2,1,0,2
11,94123,39,250000,65000,0,0,13,27,4,3,0
8,94134,30,1500,50,0,0,3,24,1,0,0
5,94117,33,5000,2000,0,0,8,27,4,3,2
3,94103,31,10000,10,0,0,7,1,5,0,0
7,94107,31,0,0,0,0,7,29,1,0,0
2,94115,10,1500,100,0,0,24,1,1,0,0
12,94122,4,200,0,0,0,3,17,5,0,2
1,94107,33,500,100,0,0,27,13,3,0,0
7,94112,35,15000,100,0,0,11,32,1,0,2
1,94109,11,1000,500,0,0,7,1,1,0,2
2,94133,36,1500,50,0,0,2,15,1,0,2
2,94107,33,200,200,0,0,6,3,1,0,2
3,94102,31,5000,5000,0,0,1,0,1,0,0
6,94109,35,5000,100,0,0,2,3,1,0,2
2,94102,34,0,0,0,0,2,4,1,0,0
6,94109,31,0,520,0,0,7,4,1,0,0
8,94102,34,5000,5000,0,0,2,3,1,0,0
6,94110,43,100000,10000,0,0,13,34,4,3,0
7,94110,31,5000,500,0,0,7,32,1,0,2
1,94102,33,0,0,0,0,7,4,1,0,0
2,94109,36,40000,20000,0,0,2,19,3,0,2
9,94109,33,0,500,0,0,2,3,1,0,0
1,94115,10,0,0,0,0,3,3,1,0,0
7,94131,10,1000,1,0,0,3,2,1,0,2
12,94103,30,500,500,0,0,3,0,1,0,0
6,94111,11,200,200,0,0,16,35,1,0,0
6,94103,31,500,800,0,0,7,4,1,0,0
9,94112,33,10000,1000,0,0,3,2,1,0,2
11,94124,37,35000,15000,0,0,3,2,1,0,2
3,94117,9,35000,10000,0,0,3,4,1,0,2
2,94102,20,2000,50,0,0,30,13,1,0,0
4,94112,31,1000,500,0,0,3,4,3,0,2
4,94110,10,2000,100,0,0,2,1,1,0,0
8,94117,30,50,100,0,0,2,3,2,0,0
5,94102,12,50,0,0,0,16,33,1,0,0
5,94110,33,2000,100,0,0,3,16,1,0,2
12,94102,32,1000,800,0,0,7,4,3,0,0
4,94118,31,5,250,0,0,33,32,1,0,2
3,94109,30,30000,500,0,0,2,21,1,0,0
7,94127,33,3000,3000,0,0,8,27,6,3,2
5,94114,33,500,100,0,0,3,16,1,0,0
3,94102,33,500,500,0,0,6,3,1,0,0
4,94109,42,0,0,0,0,2,3,1,0,0
10,94112,35,3000,500,0,0,8,14,4,3,0
2,94112,31,100,100,0,0,3,37,1,0,2
3,94118,27,5000,2000,0,0,2,33,1,0,0
8,94118,30,2000,300,0,0,2,38,1,0,0
5,94112,44,500,250,0,0,3,32,2,0,0
10,94131,30,1500,500,0,0,3,17,3,0,2
4,94103,31,100,300,0,0,2,4,1,4,0
7,94112,32,50000,500,0,0,3,16,1,0,0
4,94109,33,1000,100,0,0,1,1,1,0,0
4,94102,12,1500,15000,0,0,2,3,1,0,0
10,94123,30,100000,5000,0,0,2,19,3,0,0
8,94108,42,2500,50,0,0,2,9,1,0,2
3,94117,33,3000,1000,0,0,2,3,1,0,2
11,94108,35,100,500,0,0,2,1,1,0,0
11,94110,30,0,0,0,0,3,1,1,0,0
8,94116,31,0,0,0,0,3,32,3,0,2
5,94124,1,3000,1000,0,0,3,32,1,0,2
9,94109,101,1001000,250000,0,1,2,7,2,0,0
11,94115,34,250000,50000,0,0,2,4,1,0,0
6,94102,45,0,0,0,0,1,22,1,0,0
8,94109,33,100000,1000,0,0,7,21,1,0,0
9,94107,29,100,100,0,0,8,14,4,3,2
10,94108,12,5,1,0,0,2,3,1,0,0
2,94115,33,5000,500,0,0,3,12,1,0,2
4,94134,30,1000,1000,0,0,3,19,3,0,0
3,94109,10,500,500,0,0,2,3,1,0,0
4,94134,17,0,0,0,0,18,0,2,2,2
7,94108,31,1000,5000,0,0,1,13,3,0,0
7,94110,33,800,0,0,0,2,16,1,0,2
5,94110,27,50,0,0,0,35,24,1,0,2
7,94133,35,100000,10000,0,0,2,9,1,0,0
4,94133,12,5500,5000,0,0,2,4,1,0,0
10,94109,32,0,50,0,0,2,22,1,0,2
10,94110,45,4000,3000,0,0,2,4,1,0,0
9,94114,10,100,100,0,0,3,3,1,0,0
12,94102,35,25000,1,0,0,7,29,1,0,0
7,94112,32,0,0,0,0,3,0,3,0,0
1,94102,12,1,1,0,0,2,3,1,0,0
9,94127,29,6000,2000,0,0,8,40,4,3,2
12,94109,11,150,5,0,0,7,4,1,0,2
9,94131,22,0,0,0,0,21,41,1,5,0
7,94110,31,100,100,0,0,7,4,1,0,0
7,94123,32,0,0,0,0,3,2,1,4,0
12,94110,36,50000,5000,0,0,2,29,1,0,0
10,94122,32,1000,500,0,0,9,1,2,0,2
6,94103,32,50,0,0,0,1,21,1,0,0
2,94107,25,20000,50000,0,0,2,4,3,0,2
12,94103,43,5000,1000,0,0,36,42,4,3,2
11,94109,30,200,50,0,0,6,16,1,0,2
9,94109,33,75000,5000,0,0,2,3,1,0,0
5,94102,34,2500,250,0,0,2,4,1,5,2
6,94110,25,200,50,0,0,2,16,1,0,0
11,94102,33,5000,2000,0,0,6,22,1,0,0
9,94103,10,1,50,0,0,7,4,1,0,0
12,94115,169,25000,25000,0,0,35,0,8,0,2
4,94105,10,0,3000,0,0,16,44,3,0,0
2,94122,30,0,800,0,0,2,45,3,0,2
1,94133,45,0,0,0,0,30,47,2,0,0
7,94133,31,50,200,0,0,2,1,1,0,0
3,94124,31,10,5,0,0,2,3,1,0,2
2,94117,30,100,100,0,0,2,12,1,4,2
5,94109,22,15000,1000,0,0,7,4,1,0,0
5,94110,22,20000,5000,0,0,3,21,1,0,0
2,94115,33,0,0,0,0,2,3,1,0,2
1,94121,30,100,5000,0,0,11,13,1,0,2
12,94118,32,40000,40000,0,0,8,48,6,3,2
2,94103,32,0,0,0,0,2,38,1,0,2
4,94109,32,1,150,0,0,2,4,1,0,0
4,94110,31,10000,0,0,0,3,12,1,0,2
6,94109,35,4000,0,0,0,2,16,5,0,0
1,94133,12,1,1,0,0,2,3,1,0,2
3,94121,25,5000,0,0,0,38,49,3,5,2
2,94134,35,70000,35000,0,0,2,4,3,0,2
6,94116,31,2000,0,0,0,5,3,1,0,2
12,94103,32,1500,1500,0,0,2,3,1,0,0
2,94103,11,1,5,0,0,16,21,2,0,0
9,94117,32,1000,0,0,0,2,16,1,0,2
9,94110,34,5000,15000,0,0,3,39,1,0,2
1,94121,37,10000,10000,0,0,13,50,6,3,0
12,94103,40,0,0,0,0,40,51,3,0,2
6,94112,33,1000,500,0,0,3,21,1,4,2
7,94110,30,80000,5000,0,0,3,4,1,0,2
12,94102,29,50,50,0,0,2,4,2,0,0
1,94115,39,125000,50000,0,0,3,17,1,0,2
7,94110,33,10000,100,0,0,41,32,5,0,2
6,94103,11,200,100,0,0,2,4,1,0,2
4,94102,11,500,20,0,0,2,4,0,0,0
7,94123,35,10000,8000,0,0,2,9,3,4,0
12,94109,30,0,0,0,0,7,13,3,0,1
8,94131,37,4000,10,0,0,3,18,1,0,0
1,94108,33,100000,50000,0,0,2,1,1,0,0
8,94124,32,20000,5000,0,0,13,14,4,3,2
1,94111,14,0,0,0,0,2,3,1,0,0
2,94122,44,70000,0,0,0,3,32,3,5,2
12,94102,11,0,250,0,0,7,5,1,0,0
6,94109,42,100,100,0,0,2,3,1,0,0
6,94115,10,5000,10000,0,0,2,3,1,0,0
3,94115,21,0,0,0,0,2,23,2,0,2
6,94115,28,40000,15000,0,0,3,16,3,0,2
2,94109,33,0,100,0,0,2,3,1,0,0
5,94112,30,1000,1000,0,0,2,24,1,0,2
12,94103,31,10000,5000,0,0,2,1,1,0,0
10,94117,35,150,100,0,0,2,1,1,0,0
8,94102,31,25000,2500,0,0,2,3,1,0,0
9,94117,36,80000,5000,0,0,3,6,1,0,0
1,94112,30,0,0,0,0,3,3,1,0,2
9,94109,76,50000,30000,0,0,2,29,1,0,0
8,94102,72,300000,75000,0,1,7,29,5,0,0
4,94109,33,0,300,0,0,3,3,1,0,2
2,94103,35,1000,1000,0,0,2,4,1,0,0
5,94109,10,500,500,0,0,43,4,1,0,0
11,94124,23,8000,4000,0,0,3,4,3,0,0
1,94104,24,0,0,0,0,16,6,8,0,2
7,94114,4,0,0,0,0,5,23,1,6,2
1,94117,26,2000,500,0,0,2,36,3,0,0
8,94110,35,125000,50000,0,0,26,12,2,0,2
5,94118,30,0,0,0,0,2,3,1,0,0
10,94124,37,20000,500,0,0,3,4,5,0,2
1,94110,68,150000,20000,0,0,2,4,1,0,0
7,94110,32,10000,30000,0,0,44,52,4,3,2
12,94110,32,1000,500,0,0,2,4,1,0,0
9,94103,11,50,100,0,0,7,4,1,0,2
10,94117,5,4000,1000,0,0,45,53,1,0,1
5,94103,31,5000,100,0,0,6,16,1,0,2
6,94110,37,25000,2000,0,0,2,16,1,0,2
3,94133,11,50,200,0,0,2,1,1,0,0
7,94115,33,2000,2000,0,0,2,16,1,0,2
9,94103,11,0,0,0,0,2,1,3,0,0
7,94114,31,5000,500,0,0,2,32,1,0,0
2,94102,35,40000,20000,0,0,2,4,1,0,2
9,94110,58,50000,30000,0,0,2,4,1,0,2
12,94114,32,30000,10000,0,0,4,3,1,0,0
7,94123,27,75000,12000,0,0,2,12,1,0,2
7,94133,32,500,200,0,0,46,25,1,0,2
2,94121,32,500,100,0,0,2,3,1,0,2
2,94117,32,1000,7500,0,0,4,3,1,0,2
9,94115,31,70000,10000,0,0,6,16,1,0,2
12,94115,10,4000,3000,0,0,6,1,1,0,0
5,94102,36,100000,1500,0,0,2,4,1,0,0
12,94122,30,1000,2000,0,0,26,1,1,0,0
2,94107,31,10000,5000,0,0,2,1,1,0,0
2,94131,10,500,300,0,0,2,3,1,0,0
3,94115,30,2000,500,0,0,2,1,1,0,0
5,94107,35,2500,500,0,0,7,4,1,0,0
6,94115,9,0,0,0,0,12,3,1,0,0
4,94102,32,25000,15000,0,0,9,54,3,0,2
4,94112,28,1100,200,0,0,3,3,1,0,2
12,94107,15,10000,2000,0,0,2,3,1,0,0
7,94123,10,1,100,0,0,4,0,1,0,0
7,94108,33,0,0,0,0,30,35,1,0,0
5,94109,31,20000,1000,0,0,6,45,3,0,0
5,94117,33,15000,500,0,0,2,4,3,0,2
12,94102,11,25000,25000,0,0,1,36,0,0,0
5,94102,11,0,0,0,0,2,3,1,0,0
1,94103,38,500,100,0,0,13,42,6,3,0
7,94112,30,10000,10000,0,0,3,15,3,0,0
10,94133,33,0,0,0,0,2,3,1,0,0
4,94109,33,1000,100,0,0,4,45,1,0,2
7,94123,31,500,500,0,0,2,16,1,0,2
7,94103,32,0,0,0,0,48,17,1,1,2
7,94105,31,0,0,0,0,4,3,1,0,2
11,94112,33,60000,20000,0,0,3,3,1,0,2
5,94109,29,25000,10000,0,0,7,1,1,0,2
4,94116,30,125000,30000,0,1,6,19,1,0,2
11,94111,30,10000,5000,0,0,49,32,1,5,0
12,94134,34,20000,10000,0,0,2,19,3,0,0
2,94103,10,1,10,0,0,7,1,5,0,0
2,94105,31,50000,20000,0,0,4,3,1,0,0
4,94134,44,30000,45000,0,0,3,4,1,2,0
7,94112,35,150000,50000,0,1,3,4,5,0,0
9,94114,11,5000,50,0,0,2,16,1,0,1
1,94133,34,0,0,0,0,3,1,1,5,0
12,94110,30,3500,2000,0,0,2,4,1,0,2
10,94115,35,50000,5000,0,0,3,4,1,0,2
7,94103,32,25000,10000,0,0,2,2,1,0,0
11,94103,35,50000,5000,0,0,2,15,1,0,0
8,94107,37,5000,50,0,0,20,55,1,7,2
3,94115,31,0,0,0,0,2,16,1,0,2
3,94107,75,0,0,0,0,6,3,1,0,0
3,94107,30,10000,5000,0,0,2,3,1,0,0
2,94104,12,2,5,0,0,23,0,2,0,2
7,94110,32,0,0,0,0,3,3,1,0,2
5,94109,30,5000,100,0,0,2,49,1,0,0
12,94102,35,1000,1,0,0,52,22,1,0,0
1,94121,34,2500,0,0,1,3,17,1,0,2
5,94109,75,450000,200000,0,0,26,37,8,0,0
8,94133,34,50000,25000,0,0,4,56,1,0,0
8,94118,10,10,500,0,0,21,15,1,0,0
11,94123,33,100000,10000,0,0,3,1,1,0,0
7,94116,39,15000,5000,0,0,8,27,4,3,0
10,94102,32,5000,10000,0,0,4,3,1,0,2
6,94103,32,1500,500,0,0,2,22,1,0,0
10,94108,11,5000,5000,0,0,6,16,1,0,2
3,94117,30,50000,15000,0,0,2,37,1,0,0
3,94115,32,0,0,0,0,2,3,1,0,0
8,94117,4,500,0,0,0,2,2,1,0,2
11,94115,31,20000,1000,0,0,2,3,3,0,0
7,94117,32,5000,500,0,0,2,47,3,0,0
9,94123,37,5000,100,0,0,55,9,1,4,2
11,94114,31,70000,5000,0,0,3,36,1,0,0
6,94109,31,75000,10000,0,0,7,19,1,0,0
9,94103,11,500,0,0,0,2,9,5,0,2
6,94117,33,50000,25000,0,0,4,3,1,6,0
2,94123,30,0,0,0,0,56,46,1,4,2
8,94124,30,0,0,0,0,3,1,1,0,0
9,94105,63,0,10000,0,0,16,10,3,0,0
9,94114,4,100,0,0,0,2,22,1,0,0
10,94105,35,200,1,0,0,4,3,1,0,0
3,94112,33,100000,30000,0,0,3,35,1,0,2
2,94132,30,0,0,0,0,2,4,1,0,0
7,94109,43,3500,1200,0,0,4,3,1,0,2
7,94103,33,800,0,0,0,3,16,1,0,2
1,94102,11,50,50,0,0,6,4,1,0,2
12,94132,61,1,1,0,0,27,22,1,0,0
4,94112,28,20000,5000,0,0,3,4,1,0,2
3,94124,18,3000,2000,0,0,30,0,3,0,2
7,94118,33,50000,500,0,0,2,16,1,0,2
7,94110,31,2000,500,0,0,7,4,1,0,0
5,94134,44,500,50,0,0,3,4,1,0,0
9,94134,28,5000,1000,0,0,3,3,1,0,0
12,94133,33,75000,50000,0,0,13,11,4,3,2
2,94112,22,0,0,0,0,3,17,3,0,2
5,94121,35,100000,200000,0,0,58,7,2,0,0
10,94107,31,100,2000,0,0,4,13,1,0,2
12,94122,30,5000,10,0,0,3,56,1,5,2
4,94110,31,200,1000,0,0,2,13,3,0,0
6,94107,30,12000,20000,0,0,3,8,3,0,0
1,94110,32,1500,20000,0,0,30,46,1,5,0
12,94109,31,400,500,0,0,7,4,1,0,0
4,94102,31,100,150,0,0,2,3,1,0,0
12,94112,30,3000,1000,0,0,2,8,3,0,0
9,94110,28,0,0,0,0,7,29,1,0,0
12,94103,31,1000,0,0,0,7,32,1,0,0
3,94110,31,25000,10000,0,0,2,19,3,0,0
4,94132,30,0,0,0,0,3,3,1,0,0
7,94114,31,2000,5000,0,0,4,3,1,0,2
10,94133,35,50000,15000,0,0,2,1,2,0,2
4,94121,33,3000,100,0,0,30,23,2,2,0
8,94102,35,1000,100,0,0,22,14,6,3,0
6,94103,30,1000,500,0,0,2,21,1,0,0
11,94103,11,50,250,0,0,1,4,1,0,0
1,94118,11,0,0,0,0,3,3,1,0,2
8,94110,29,50000,50000,0,0,59,54,1,0,0
6,94109,42,250,25,0,0,1,4,1,0,0
4,94115,34,8000,100,0,0,6,58,1,0,2
3,94108,33,25000,25000,0,0,60,21,1,0,2
3,94117,38,7000,500,0,1,6,19,1,0,2
2,94109,33,100,100,0,0,1,3,2,0,2
5,94117,30,1000,500,0,0,2,1,1,4,0
8,94110,25,6000,1000,0,0,2,6,1,4,2
10,94109,4,300,0,0,0,2,59,1,0,0
6,94102,32,100,500,0,0,2,4,1,0,0
4,94103,31,2000,1500,0,0,7,1,1,0,0
12,94103,11,500,50,0,0,2,1,1,0,0
4,94134,24,5000,2000,0,0,3,1,3,0,0
11,94112,30,0,500,0,0,3,3,1,0,0
9,94114,37,3500,8000,0,0,11,13,1,0,2
4,94108,26,5000,0,0,0,2,21,5,0,1
7,94133,10,10000,5000,0,0,2,9,1,0,0
3,94110,12,11000,3000,0,0,3,3,3,0,0
1,94122,34,500,10,0,0,2,12,1,0,2
8,94114,31,5000,5000,0,0,16,25,1,0,2
9,94117,33,5000,10,0,0,6,16,1,0,2
1,94117,24,200,0,0,0,2,58,2,0,2
8,94109,30,2500,500,0,0,2,3,1,0,0
5,94102,33,1000,1000,0,0,7,22,1,0,0
6,94134,43,2000,100,0,0,3,3,1,0,0
11,94122,34,8000,1000,0,0,3,21,3,0,2
6,94114,33,500,500,0,0,2,3,1,0,2
1,94108,42,1,1,0,0,2,3,1,0,2
4,94117,10,2000,1000,0,0,2,4,1,0,0
3,94109,22,25000,2000,0,0,2,1,1,0,0
3,94112,31,500,100,0,0,3,32,1,0,2
1,94117,30,0,0,0,0,2,8,1,0,0
6,94110,37,30000,5000,0,0,2,19,1,0,2
7,94109,9,0,0,0,0,64,60,1,0,0
11,94102,11,2000,500,0,0,7,4,1,0,0
1,94131,33,1000,1000,0,0,23,61,1,0,0
1,94110,10,1,1,0,0,2,59,5,0,0
2,94123,33,7500,0,0,0,2,38,1,0,2
1,94102,11,0,0,0,0,2,4,1,0,0
8,94133,32,0,0,0,0,2,4,1,0,0
12,94132,5,500,500,0,0,65,45,1,2,2
8,94134,25,0,0,0,0,6,17,1,0,2
1,94107,30,0,0,0,0,5,1,2,0,0
1,94102,41,500,-7,0,0,66,62,6,8,2
4,94134,27,0,0,0,0,3,4,1,0,2
8,94133,31,20000,5000,0,0,67,9,1,0,2
12,94123,31,8000,500,0,0,3,58,1,0,0
9,94103,34,0,0,0,0,2,16,1,0,0
8,94114,30,5000,500,0,0,3,32,1,0,0
1,94110,10,50000,5000,0,0,3,1,1,0,2
3,94108,42,5000,1500,0,0,2,3,1,0,2
1,94132,32,30000,30000,0,0,2,4,1,0,0
9,94114,31,50000,0,0,0,2,45,1,0,0
1,94110,36,0,0,0,0,3,17,1,0,0
12,94103,32,300,100,0,0,2,1,1,0,0
9,94122,10,0,200,0,0,2,4,1,0,0
7,94108,33,0,5000,0,0,49,46,0,5,0
11,94132,30,1000,500,0,0,13,27,4,3,0
1,94121,10,100,2000,0,0,68,15,3,0,0
12,94110,31,10000,5000,0,0,2,1,1,0,2
6,94115,51,210000,50000,0,0,6,6,1,0,0
3,94130,40,0,1000,0,0,3,4,2,0,2
8,94102,11,50,20,0,0,2,47,1,0,0
8,94102,31,50000,20000,0,0,1,4,1,0,0
6,94117,28,15000,2000,0,0,2,19,2,0,2
12,94110,35,500,1500,0,0,2,4,1,0,2
2,94133,12,25,2,0,0,2,41,1,0,2
1,94110,30,5000,950,0,0,3,4,1,0,2
1,94109,28,0,0,0,0,2,1,1,0,0
9,94121,32,10000,6000,0,0,13,48,4,3,0
10,94103,31,20000,2000,0,0,7,4,1,0,0
11,94134,33,5000,1000,0,0,4,3,1,0,2
12,94116,31,15000,1,0,0,3,16,5,4,2
12,94109,31,1000,1000,0,0,2,10,3,0,0
8,94134,33,1000,100,0,0,3,2,1,0,2
9,94117,35,500,100,0,0,2,3,1,0,0
2,94102,31,0,100,0,0,7,63,1,0,0
8,94109,31,1800,2000,0,0,30,9,1,0,2
2,94112,28,1000,0,0,0,3,13,3,0,2
1,94122,32,150000,15000,0,0,8,27,6,3,2
6,94102,33,1500,1000,0,0,7,4,1,0,0
1,94109,5,0,0,0,0,4,18,1,0,2
7,94103,31,2000,25,0,0,6,2,1,0,2
6,94107,30,1000,50,0,0,3,4,1,2,2
2,94110,35,2000,2000,0,0,2,37,1,0,2
6,94131,4,1000,0,0,0,3,18,1,0,2
1,94109,31,100,100,0,0,2,3,1,0,2
9,94118,24,0,0,0,0,2,18,1,0,2
1,94109,33,0,0,0,0,2,4,1,0,0
7,94133,32,0,0,0,0,9,54,3,0,2
5,94109,11,100,20,0,0,7,1,1,0,0
1,94114,37,10000,6000,0,0,2,4,1,0,0
1,94117,33,15000,10000,0,0,3,16,1,0,0
4,94114,11,0,0,0,0,6,3,1,0,0
4,94103,31,2000,40,0,0,2,59,5,0,0
3,94102,31,2000,1000,0,0,7,3,1,0,0
8,94124,34,0,0,0,0,2,3,3,0,2
12,94102,11,10,200,0,0,2,4,3,0,0
6,94102,40,500,100,0,0,7,4,1,0,0
5,94117,11,20,0,0,0,27,47,2,0,0
7,94107,10,1000,50,0,0,2,3,1,0,0
6,94110,19,20000,1500,0,0,2,18,1,0,0
5,94108,32,0,0,0,0,2,3,1,0,0
11,94109,42,50,1,0,0,16,58,1,0,0
4,94134,30,100,3000,0,0,11,13,3,0,2
7,94108,32,2000,7500,0,0,28,13,3,0,0
6,94118,30,50000,5000,0,0,4,3,1,0,2
10,94114,30,2500,250,0,0,3,16,1,0,2
9,94116,10,1,1,0,0,29,5,1,0,0
5,94124,4,0,0,0,0,18,21,2,0,2
1,94110,11,2000,0,0,0,54,58,2,0,2
11,94109,31,2500,2500,0,0,1,1,1,0,0
2,94121,30,400000,200000,0,0,9,3,1,0,0
9,94103,35,0,0,0,0,7,1,1,0,0
5,94114,24,3000,500,0,0,3,41,1,0,2
7,94115,32,0,0,0,0,2,3,3,0,2
4,94112,9,2000,1000,0,0,3,3,3,0,2
9,94133,36,5000,5000,0,0,4,0,3,0,2
2,94109,14,5,300,0,0,7,4,1,0,0
7,94132,36,5000,10,0,0,13,64,4,3,2
8,94112,33,10000,10000,0,0,8,65,4,3,0
3,94112,33,1000,100,0,0,11,66,1,0,2
4,94117,60,300000,50000,0,0,3,15,1,0,0
12,94103,10,100,2500,0,0,2,59,1,0,0
1,94109,42,0,0,0,0,2,1,3,0,2
4,94102,12,50,10,0,0,1,4,1,0,0
10,94117,39,5000,1000,0,0,2,4,8,0,2
3,94109,31,1,20,0,0,7,4,1,0,2
9,94131,16,1000,50,0,0,6,47,2,0,0
6,94118,31,5000,500,0,0,2,21,1,0,0
10,94121,10,500,500,0,0,2,1,1,0,2
10,94112,11,10,800,0,0,3,3,3,0,0
5,94107,33,1000,1000,0,0,54,9,1,0,2
1,94104,28,10,1,0,0,16,6,1,5,2
11,94103,31,0,0,0,0,7,4,1,0,0
2,94109,31,2000,0,0,0,2,3,3,0,2
4,94124,30,100,100,0,0,3,1,1,7,2
4,94115,33,100,0,0,0,2,8,3,0,0
1,94110,33,500,100,0,0,2,1,1,0,2
8,94109,42,2500,500,0,0,30,54,3,0,0
